mid,player_0,player_1,player_2,player_3,player_4,player_5,player_6,player_7,player_8,player_9
0,31,32,29,39,52,9,79,28,21,33
1,53,39,29,10,79,41,55,40,74,33
2,33,17,21,53,20,62,74,55,65,40
3,33,40,74,60,38,52,16,21,79,80
4,31,16,9,74,33,52,1,21,3,38
5,40,28,74,9,79,78,31,13,52,16
6,33,21,83,52,45,78,31,74,79,63
7,78,20,55,61,5,58,65,80,30,33
8,53,43,40,60,33,74,31,61,16,38
9,17,7,55,1,20,60,33,79,10,52
10,83,21,52,55,45,14,79,11,33,16
11,40,55,29,1,21,27,53,52,33,10
12,33,74,9,31,16,10,65,52,61,5
13,74,21,17,33,5,60,79,80,58,52
14,25,74,61,79,16,10,31,21,7,78
15,20,21,32,7,52,8,40,60,55,79
16,39,16,27,58,52,66,20,7,34,21
17,16,63,5,55,74,31,21,38,7,10
18,52,74,60,16,9,7,13,20,53,10
19,29,28,21,52,61,53,62,20,60,39
20,5,40,21,39,49,7,52,76,33,74
21,74,21,34,33,7,58,31,52,41,38
22,5,43,66,60,13,14,7,39,21,16
23,16,21,52,39,54,74,80,60,5,58
24,20,74,16,79,32,10,31,33,7,78
25,66,7,21,61,63,29,20,39,27,60
26,33,74,21,5,43,45,38,11,20,66
27,74,41,45,26,7,38,20,1,27,52
28,1,31,29,21,38,84,80,13,40,52
29,78,10,33,21,40,60,55,39,79,20
30,27,53,1,20,68,10,26,21,39,16
31,13,10,61,40,33,78,17,21,31,5
32,40,52,74,10,53,39,66,21,9,79
33,38,5,66,10,80,1,21,16,79,40
34,8,43,77,16,5,57,66,52,14,61
35,1,3,53,7,79,55,16,52,56,33
36,7,55,40,14,39,52,84,74,21,56
37,79,16,52,74,10,68,20,55,38,1
38,33,53,39,27,56,26,16,62,74,1
39,79,16,60,53,10,27,7,78,39,80
40,33,53,17,78,52,77,7,68,61,39
41,29,74,13,5,1,20,40,10,53,39
42,27,10,60,58,79,1,5,7,78,21
43,77,21,39,58,20,5,53,38,29,9
44,7,68,39,78,80,16,60,21,52,56
45,52,49,27,33,38,10,45,53,58,20
46,1,31,29,21,38,33,5,10,58,80
47,7,28,39,20,9,29,21,10,60,5
48,58,62,74,78,79,20,66,52,56,61
49,55,40,39,17,16,52,33,60,11,38
50,50,39,52,33,80,55,74,20,9,7
51,55,53,45,20,29,52,7,78,74,63
52,52,16,74,13,1,5,53,49,78,7
53,79,7,43,21,49,1,33,5,38,39
54,28,21,39,33,5,37,79,52,55,1
55,52,17,21,26,7,28,66,53,5,56
56,40,17,32,33,79,10,55,16,68,5
57,1,21,78,7,68,58,16,53,40,10
58,10,39,25,65,16,20,53,1,5,21
59,53,80,60,5,58,32,66,78,21,79
60,20,31,39,21,10,74,7,5,13,1
61,41,16,74,7,5,33,61,10,40,66
62,40,80,27,55,5,74,21,20,16,1
63,27,61,1,40,58,78,17,5,31,21
64,52,39,31,20,21,53,62,17,33,5
65,60,16,52,76,58,66,7,10,62,78
66,66,79,80,78,52,53,64,7,10,15
67,62,49,39,16,5,7,40,28,10,13
68,52,38,32,53,31,10,21,68,7,20
69,43,20,53,58,1,66,40,60,21,10
70,61,33,78,20,79,60,80,16,5,58
71,58,13,40,78,39,45,66,34,7,49
72,27,31,1,49,74,14,39,53,79,16
73,16,68,74,1,53,10,5,29,78,21
74,16,3,39,7,56,66,5,10,21,28
75,53,5,7,78,56,55,16,74,6,33
76,55,5,43,27,49,7,40,28,21,39
77,52,66,27,29,21,74,61,78,33,5
78,7,53,10,68,39,66,5,38,13,49
79,66,55,29,39,63,7,10,5,74,13
80,74,38,34,53,79,20,66,17,56,78
81,56,5,53,7,52,31,62,16,74,39
82,74,80,39,5,58,10,31,29,78,33
83,10,74,58,29,38,33,21,17,53,5
84,52,38,32,31,66,10,5,33,78,21
85,1,74,7,20,38,60,61,21,33,31
86,39,81,33,25,5,40,16,79,55,10
87,29,53,39,38,79,33,16,40,21,10
88,81,68,38,34,33,53,10,21,79,7
89,55,31,33,1,28,27,53,34,79,16
90,16,33,31,10,53,55,5,52,1,79
91,55,52,33,56,16,66,38,20,21,70
92,81,21,52,45,7,74,10,29,79,33
93,74,58,33,60,5,66,21,43,79,16
94,7,68,81,34,55,52,10,79,21,29
95,58,33,53,49,40,13,7,74,81,68
96,20,9,74,21,33,27,58,17,81,79
97,68,17,21,81,5,66,7,51,34,80
98,21,58,10,5,33,79,80,32,27,53
99,62,20,52,55,16,33,58,27,40,61
100,74,31,78,49,20,52,40,53,43,33
101,25,27,53,81,40,60,79,74,52,39
102,27,10,21,74,31,5,33,61,1,16
103,43,66,53,8,40,68,39,21,33,81
104,74,21,34,33,31,1,52,39,5,79
105,55,52,80,29,79,74,56,21,33,16
106,31,52,74,7,62,20,34,53,21,33
107,25,81,74,43,66,58,13,56,21,40
108,23,58,79,53,21,52,65,16,40,10
109,9,78,29,20,79,74,21,61,58,50
110,63,31,74,7,21,45,40,39,29,80
111,45,10,52,33,38,21,39,79,74,31
112,41,74,31,33,13,17,29,80,79,52
113,77,61,17,66,21,40,44,53,57,5
114,7,80,27,55,21,77,79,33,34,65
115,79,33,23,16,61,8,40,62,29,5
116,66,16,21,39,40,74,79,23,29,31
117,66,78,80,17,3,39,5,55,77,19
118,61,79,74,29,52,38,33,34,80,40
119,74,21,34,33,31,40,80,78,66,38
120,79,7,33,9,16,60,21,74,53,3
121,53,80,21,40,29,33,79,52,39,34
122,72,55,33,21,7,17,79,80,52,16
123,40,34,80,39,33,3,79,21,43,52
124,16,79,10,74,52,33,80,21,84,53
125,21,79,17,78,38,58,33,7,10,52
126,58,21,31,38,61,53,39,80,29,5
127,8,40,45,38,33,74,52,31,81,78
128,39,20,55,49,53,21,19,74,33,52
129,7,34,33,21,39,79,53,81,43,25
130,79,61,34,7,52,74,40,21,38,16
131,5,34,80,8,66,21,49,27,39,33
132,34,81,31,55,58,33,74,16,10,40
133,16,52,80,29,79,40,74,39,58,60
134,21,52,17,81,40,33,55,25,60,39
135,60,38,34,66,79,81,52,74,5,56
136,52,80,21,53,3,74,39,60,40,66
137,53,39,81,40,66,33,16,79,52,11
138,52,33,34,66,79,1,29,40,39,21
139,33,34,16,77,25,29,61,21,53,5
140,21,52,74,5,7,60,39,58,40,29
141,66,29,5,78,74,17,38,55,33,40
142,34,40,55,41,66,27,52,7,80,31
143,55,40,23,16,79,7,39,74,33,63
144,55,17,19,78,79,52,29,33,80,11
145,5,10,74,21,33,79,81,58,78,52
146,86,52,21,33,16,39,29,81,68,20
147,81,16,74,21,52,38,79,53,66,10
148,66,74,16,61,25,33,80,52,45,40
149,66,60,61,40,80,5,52,77,16,29
